format_time	date	player
1:03:54.000	12/9/2016	Chivu93
1:04:24.000	11/12/2016	Chivu93
1:04:40.000	7/16/2016	SSJ4Vegeto
1:05:00.000	3/28/2016	Chivu93
1:06:29.000	3/18/2016	karl__k
1:06:31.000	12/31/2015	Chivu93
1:07:22.000	11/1/2015	Chivu93
1:08:30.000	10/7/2015	karl__k
1:08:45.000	9/25/2015	SSJ4Vegeto
1:09:15.000	8/24/2015	Chivu93
1:09:40.000	8/15/2015	Chivu93
1:09:44.000	6/4/2015	Chivu93
1:10:12.000	5/19/2015	Chivu93
1:10:19.000	5/6/2015	Chivu93
1:10:28.000	4/18/2015	Chivu93
1:10:32.000	3/12/2015	SSJ4Vegeto
1:11:01.000	1/31/2015	Eidgod
1:11:07.000	12/16/2014	SSJ4Vegeto
1:12:23.000	9/10/2014	SSJ4Vegeto
1:12:37.000	8/2/2014	SSJ4Vegeto
1:12:54.000	7/27/2014	SSJ4Vegeto
1:13:02.000	7/24/2014	Eidgod
1:13:04.000	3/7/2014	SSJ4Vegeto
1:14:03.000	2/10/2014	Eidgod
1:16:16.000	11/1/2013	Adam_ak
1:21:38.000	4/23/2013	oasiz
