format_time	date	player
0:28:50	12/8/2015	LackAttack24
0:29:04	12/1/2015	LackAttack24
0:29:11	11/21/2015	LackAttack24
0:29:13	11/16/2015	LackAttack24
0:29:19	10/30/2015	LackAttack24
0:29:24	10/19/2015	LackAttack24
0:29:33	9/29/2015	LackAttack24
0:29:36	9/20/2015	LackAttack24
0:29:48	9/14/2015	LackAttack24
0:29:50	8/20/2015	LackAttack24
0:29:56.00	3/31/2015	LackAttack24
0:30:06.00	2/27/2015	LackAttack24
0:30:25.00	2/8/2015	LackAttack24
0:30:37.00	1/31/2015	LackAttack24
0:30:41.00	10/18/2014	LackAttack24
0:31:02	7/10/2014	LackAttack24
0:31:21.00	6/18/2014	LackAttack24
0:32:08.00	6/4/2014	LackAttack24
0:32:12.00	5/21/2014	LackAttack24
0:32:21.00	4/14/2014	LackAttack24
0:33:29.00	4/12/2014	LackAttack24
0:33:35.00	3/31/2014	LackAttack24
0:34:05.00	3/29/2014	LackAttack24
0:34:30.00	3/26/2014	LackAttack24
0:34:52:00	1/29/2014	LackAttack24
0:36:09.00	1/27/2014	LackAttack24
0:37:09:00	1/6/2014	LackAttack24
0:29:10	2/4/2017	Darkwing_Duck_sda
0:29:12	5/10/2016	Darkwing_Duck_sda
0:29:18	4/2/2016	Darkwing_Duck_sda
0:29:31	1/3/2016	Darkwing_Duck_sda
0:29:33	12/9/2015	Darkwing_Duck_sda
0:29:36	11/23/2015	Darkwing_Duck_sda
0:29:46	10/25/2015	Darkwing_Duck_sda
0:30:05	10/14/2015	Darkwing_Duck_sda
0:30:15	9/16/2015	Darkwing_Duck_sda
0:30:16	2/10/2015	Darkwing_Duck_sda
0:30:29	1/23/2015	Darkwing_Duck_sda
0:30:37	8/30/2014	Darkwing_Duck_sda
0:31:02	8/02/2014	Darkwing_Duck_sda
0:31:07	5/20/2014	Darkwing_Duck_sda
0:31:25	8/24/2013	Darkwing_Duck_sda
0:31:39	3/25/2013	Darkwing_Duck_sda
0:31:44	3/08/2013	Darkwing_Duck_sda
0:32:04	7/11/2012	Darkwing_Duck_sda
0:34:36	12/02/2011	Darkwing_Duck_sda
0:34:50	11/9/2011	Darkwing_Duck_sda
0:36:17	10/2/2011	Darkwing_Duck_sda
0:37:04	9/28/2011	Darkwing_Duck_sda
0:37:13	9/20/2011	Darkwing_Duck_sda
0:28:57	1/17/2017	cantaloupeme
0:29:12	1/03/2017	cantaloupeme
0:29:26	9/28/2016	cantaloupeme
0:29:34	6/05/2016	cantaloupeme
0:29:39	5/04/2016	cantaloupeme
0:29:48	12/08/2015	cantaloupeme
0:29:51	9/18/2015	cantaloupeme
0:30:15	8/01/2015	cantaloupeme
0:30:19	6/23/2015	cantaloupeme
0:30:48	6/14/2015	cantaloupeme
0:30:53	3/15/2015	cantaloupeme
0:31:15	2/26/2015	cantaloupeme
0:31:27	2/23/2015	cantaloupeme
0:31:32	2/16/2015	cantaloupeme
0:31:36	12/17/2014	cantaloupeme
0:32:37	12/10/2014	cantaloupeme
0:32:53	12/09/2014	cantaloupeme
0:33:19	12/04/2014	cantaloupeme
0:33:36	11/28/2014	cantaloupeme
0:34:11	11/27/2014	cantaloupeme
0:34:27	11/03/2014	cantaloupeme
0:35:02	10/22/2014	cantaloupeme
