date	format_time	player
9/11/1998	0:02:08.30	Penev
9/13/1998	0:02:08.22	Penev
9/29/1998	0:02:08.12	Penev
10/1/1998	0:02:07.92	Penev
10/2/1998	0:02:07.90	Penev
10/17/1998	0:02:07.80	Penev
10/20/1998	0:02:07.49	Penev
1/12/1999	0:02:07.09	Penev
5/12/1999	0:02:07.02	Booth
6/26/1999	0:02:06.68	Peter E
12/15/1999	0:02:06.66	Booth
1/30/2000	0:02:06.53	Mike S
2/13/2000	0:02:06.13	Zwartjes
6/24/2002	0:02:06.11	Lacey
4/30/2003	0:02:06.00	MJ
8/29/2003	0:02:05.71	MJ
8/31/2003	0:02:05.65	MJ
6/9/2004	0:02:05.60	Troy
6/18/2004	0:02:05.56	MJ
2/24/2008	0:02:05.55	MJ
2/25/2008	0:02:05.33	MJ
1/23/2012	0:02:05.28	MR
1/24/2012	0:02:05.17	MJ
8/14/2012	0:02:05.17	VAJ
10/5/2013	0:02:05.13	MR
10/15/2013	0:02:05.09	MJ
10/24/2013	0:02:05.07	MR
1/22/2014	0:02:04.97	MJ
1/23/2014	0:02:04.85	MR
11/1/2015	0:02:04.84	abney317
11/2/2015	0:02:04.79	abney317
11/5/2015	0:02:04.67	abney317
11/6/2015	0:02:04.48	MR
11/7/2015	0:02:04.45	abney317
11/10/2015	0:02:04.35	abney317
11/16/2015	0:02:04.33	abney317
11/17/2015	0:02:04.33	MR
11/24/2015	0:02:04.32	abney317
2/12/2016	0:02:04.30	MR
2/12/2016	0:02:04.24	abney317
10/15/2016	0:02:04.23	MR
