Original Date	date	NTSC Time	PAL Time	format_time	player	System	Duration
Early 1997	1/1/1997	4'09"34	4'59"81	0:04:59.81	Gregg G	NTSC	13
1997-03-xx	3/1/1997	3'58"71	4'47"02	0:04:47.02	Stephen K	NTSC	15
1997-04-04	4/4/1997	3'55"00	4'42"56	0:04:42.56	Booth	NTSC	148
1997-0x-xx	6/1/1997	3'52"30	4'39"32	0:04:39.32	Jonathan	NTSC	205
<1998-03-23	3/23/1998	3'50"84	4'37"56	0:04:37.56	Joop B	PAL	183
1998-09-22	9/22/1998	3'49"81	4'36"32	0:04:36.32	Penev	PAL	26
<1998-10-18	10/18/1998	3'49"42	4'35"85	0:04:36	JWhalls	NTSC	59
1998-12-16	12/16/1998	3'48"82	4'35"13	0:04:35.13	Penev	PAL	7
1998-12-23	12/23/1998	3'48"50	4'34"75	0:04:34.75	Penev	PAL	59
1999-02-20	2/20/1999	3'47"51	4'33"56	0:04:33.56	JWhalls	NTSC	57
1999-04-18	4/18/1999	3'47"48	4'33"52	0:04:33.52	Jonathan	NTSC	103
<1999-07-30	7/30/1999	3'46"56	4'32"42	0:04:32.42	Mike S	NTSC	31
<1999-08-30	8/30/1999	3'45"67	4'31"35	0:04:31.35	Jonathan	NTSC	17
1999-09-16	9/16/1999	3'37"86	4'21"96	0:04:21.96	Penev	PAL	423
2000-11-12	11/12/2000	3'36"63	4'20"47	0:04:20.47	Penev	PAL	1367
2004-08-10	8/10/2004	3'36"04	4'19"77	0:04:19.77	Pobre	NTSC	14
2004-08-24	8/24/2004	3'35"95	4'19"66	0:04:19.66	Steven G	NTSC	16
2004-09-09	9/9/2004	3'30"30	4'12"86	0:04:12.86	Steven G	NTSC	81
2004-11-29	11/29/2004	3'25"60	4'07"21	0:04:07.21	Michael F	NTSC	62
2005-01-30	1/30/2005	3'22"76	4'03"80	0:04:03.80	Michael F	NTSC	15
2005-02-14	2/14/2005	3'20"22	4'00"74	0:04:00.74	Michael F	NTSC	15
2005-03-01	3/1/2005	3'19"86	4'00"31	0:04:00.31	Pobre	NTSC	<1
2005-03-01	3/1/2005	3'19"83	4'00"28	0:04:00.28	Pobre	NTSC	2
2005-03-03	3/3/2005	3'19"65	4'00"06	0:04:00.06	Michael F	NTSC	351
2006-02-17	2/17/2006	3'19"12	3'59"42	0:03:59.42	Karlo	NTSC	2
2006-02-19	2/19/2006	3'18"83	3'59"07	0:03:59.07	Karlo	NTSC	292
2006-12-08	12/8/2006	3'18"64	3'58"84	0:03:58.84	Karlo	NTSC	2
2006-12-10	12/10/2006	3'18"22	3'58"34	0:03:58.34	Karlo	NTSC	1
2006-12-11	12/11/2006	3'18"21	3'58"33	0:03:58.33	Karlo	NTSC	2
2006-12-13	12/13/2006	3'17"91	3'57"97	0:03:57.97	Karlo	NTSC	1880
2012-02-05	2/5/2012	3'17"56	3'57"55	0:03:57.55	VAJ	PAL	2
2012-02-07	2/7/2012	3'17"26	3'57"18	0:03:57.18	VAJ	PAL	30
2012-03-08	3/8/2012	3'17"13	3'57"03	0:03:57.03	VAJ	PAL	192
2012-09-16	9/16/2012	3'16"93	3'56"79	0:03:56.79	VAJ	PAL	3
2012-09-19	9/19/2012	3'16"78	3'56"61	0:03:56.61	VAJ	PAL	687
2014-08-07	8/7/2014	3'16"71	3'56"52	0:03:56.52	VAJ	PAL	236
2015-03-31	3/31/2015	3'16"57	3'56"36	0:03:56.36	abney317	PAL	577
