date	format_time	player
5/1/1997	0:06:15.83	Booth
8/27/1997	0:06:09.67	Jonathan
1/14/1998	0:06:08.69	Zwartjes
3/13/1998	0:06:05.51	Jonathan
9/2/1998	0:06:04.15	Penev
9/11/1998	0:06:03.86	Penev
9/13/1998	0:06:02.15	Penev
9/22/1998	0:06:01.97	Penev
9/23/1998	0:06:03.64	JWhalls
9/30/1998	0:06:01.79	Penev
10/9/1998	0:06:01.66	Penev
10/10/1998	0:06:01.60	Penev
10/24/1998	0:06:01.27	Penev
2/14/1999	0:06:00.38	Penev
4/20/1999	0:06:00.09	Penev
4/28/1999	0:05:59.81	Sami
6/2/1999	0:05:59.63	Sami
11/13/1999	0:05:58.45	Zwartjes
11/17/2000	0:05:57.09	Sami
3/30/2003	0:05:56.57	MJ
3/31/2003	0:05:56.24	Sami
2/10/2005	0:05:55.80	MJ
1/29/2006	0:05:54.79	MJ
2/1/2006	0:05:54.33	MJ
2/24/2012	0:05:54.32	MR
3/24/2012	0:05:53.99	MJ
12/23/2012	0:05:53.83	MR
7/2/2013	0:05:53.80	MR
8/12/2014	0:05:53.78	Zoran
8/15/2014	0:05:53.56	MR
11/28/2015	0:05:53.39	abney317
11/30/2015	0:05:53.25	MR
12/5/2015	0:05:53.20	abney317
12/14/2015	0:05:53.12	MR
1/13/2016	0:05:53.00	abney317
1/13/2016	0:05:52.88	abney317
2/9/2016	0:05:52.75	MR
