date	format_time	player
1/1/1997	0:04:59.81	Gregg G
3/1/1997	0:04:47.02	Stephen K
4/4/1997	0:04:42.56	Booth
6/1/1997	0:04:39.32	Jonathan
3/23/1998	0:04:37.56	Joop B
9/22/1998	0:04:36.32	Penev
10/18/1998	0:04:36	JWhalls
12/16/1998	0:04:35.13	Penev
12/23/1998	0:04:34.75	Penev
2/20/1999	0:04:33.56	JWhalls
4/18/1999	0:04:33.52	Jonathan
7/30/1999	0:04:32.42	Mike S
8/30/1999	0:04:31.35	Jonathan
9/16/1999	0:04:21.96	Penev
11/12/2000	0:04:20.47	Penev
8/10/2004	0:04:19.77	Pobre
8/24/2004	0:04:19.66	Steven G
9/9/2004	0:04:12.86	Steven G
11/29/2004	0:04:07.21	Michael F
1/30/2005	0:04:03.80	Michael F
2/14/2005	0:04:00.74	Michael F
3/1/2005	0:04:00.31	Pobre
3/1/2005	0:04:00.28	Pobre
3/3/2005	0:04:00.06	Michael F
2/17/2006	0:03:59.42	Karlo
2/19/2006	0:03:59.07	Karlo
12/8/2006	0:03:58.84	Karlo
12/10/2006	0:03:58.34	Karlo
12/11/2006	0:03:58.33	Karlo
12/13/2006	0:03:57.97	Karlo
2/5/2012	0:03:57.55	VAJ
2/7/2012	0:03:57.18	VAJ
3/8/2012	0:03:57.03	VAJ
9/16/2012	0:03:56.79	VAJ
9/19/2012	0:03:56.61	VAJ
8/7/2014	0:03:56.52	VAJ
3/31/2015	0:03:56.36	abney317
