player	format_time	date	console
ZFG	4:15:03	6/23/2016	Nintendo 64 (J 1.0)
ZFG	4:16:45	5/11/2016	Nintendo 64 (J 1.0)
ZFG	4:17:28	4/15/2016	Nintendo 64 (J 1.0)
ZFG	4:18:29	3/26/2016	Nintendo 64 (J 1.0)
ZFG	4:19:34	8/21/2015	Nintendo 64 (J 1.0)
ZFG	4:21:41	8/12/2015	Nintendo 64 (J 1.0)
ZFG	4:23:24	7/25/2015	Nintendo 64 (J 1.0)
ZFG	4:23:27	6/26/2015	Nintendo 64 (J 1.0)
ZFG	4:24:15	3/19/2015	Nintendo 64 (J 1.0)
ZFG	4:25:45	3/11/2015	Nintendo 64 (J 1.0)
ZFG	4:26:54	1/15/2015	Nintendo 64 (J 1.0)
ZFG	4:28:22	8/30/2014	Nintendo 64 (J 1.0)
ZFG	4:31:16	7/13/2014	Nintendo 64 (J 1.0)
ZFG	4:36:32	7/4/2014	Nintendo 64 (J 1.0)
ZFG	4:37:03	5/22/2014	Nintendo 64 (J 1.0)
ZFG	4:42:46	3/19/2014	Nintendo 64 (J 1.0)
ZFG	4:45:45	2/27/2014	Nintendo 64 (J 1.0)
ZFG	4:47:03	8/24/2013	Nintendo 64 (J 1.0)
ZFG	4:47:56	7/20/2013	Nintendo 64 (J 1.0)
ZFG	4:49:15	5/31/2013	Nintendo 64 (J 1.0)
ZFG	4:51:13	5/21/2013	Nintendo 64 (J 1.0)
ZFG	4:55:59	4/20/2013	Nintendo 64 (J 1.0)
ZFG	5:05:06	2/5/2013	Nintendo 64 (J 1.0)
ZFG	5:14:59	12/29/2012	Nintendo 64 (J 1.0)
ZFG	5:49:18	8/24/2012	Nintendo 64 (U 1.?)
