player	format_time	date	console
ZFG	4:15:03	6/23/2016	Nintendo 64 (J 1.0)
ZFG	4:16:45	5/11/2016	Nintendo 64 (J 1.0)
ZFG	4:17:28	4/15/2016	Nintendo 64 (J 1.0)
ZFG	4:18:29	3/26/2016	Nintendo 64 (J 1.0)
ZFG	4:19:34	8/21/2015	Nintendo 64 (J 1.0)
ZFG	4:21:41	8/12/2015	Nintendo 64 (J 1.0)
ZFG	4:23:24	7/25/2015	Nintendo 64 (J 1.0)
ZFG	4:23:27	6/26/2015	Nintendo 64 (J 1.0)
ZFG	4:24:15	3/19/2015	Nintendo 64 (J 1.0)
ZFG	4:25:45	3/11/2015	Nintendo 64 (J 1.0)
ZFG	4:26:54	1/15/2015	Nintendo 64 (J 1.0)
ZFG	4:28:22	8/30/2014	Nintendo 64 (J 1.0)
ZFG	4:31:16	7/13/2014	Nintendo 64 (J 1.0)
ZFG	4:36:32	7/4/2014	Nintendo 64 (J 1.0)
ZFG	4:37:03	5/22/2014	Nintendo 64 (J 1.0)
ZFG	4:42:46	3/19/2014	Nintendo 64 (J 1.0)
ZFG	4:45:45	2/27/2014	Nintendo 64 (J 1.0)
ZFG	4:47:03	8/24/2013	Nintendo 64 (J 1.0)
ZFG	4:47:56	7/20/2013	Nintendo 64 (J 1.0)
ZFG	4:49:15	5/31/2013	Nintendo 64 (J 1.0)
ZFG	4:51:13	5/21/2013	Nintendo 64 (J 1.0)
ZFG	4:55:59	4/20/2013	Nintendo 64 (J 1.0)
ZFG	5:05:06	2/5/2013	Nintendo 64 (J 1.0)
ZFG	5:14:59	12/29/2012	Nintendo 64 (J 1.0)
ZFG	5:49:18	8/24/2012	Nintendo 64 (U 1.?)
ClintStevens	4:22:37	12/21/2016	JP N64
ClintStevens	4:24:21	09/03/2016	JP N64
ClintStevens	4:26:21	01/11/2016	JP N64
ClintStevens	4:28:10	11/28/2015	JP N64
ClintStevens	4:29:45	11/27/2015	JP N64
ClintStevens	4:30:15	11/13/2015	JP N64
ClintStevens	4:30:16	11/11/2015	JP N64
ClintStevens	4:32:38	11/08/2015	JP N64
ClintStevens	4:33:24	10/31/2015	JP N64
ClintStevens	4:33:53	10/27/2015	JP N64
ClintStevens	4:34:18	10/23/2015	JP N64
ClintStevens	4:35:16	10/21/2015	JP N64
ClintStevens	4:36:50	10/15/2015	JP N64
ClintStevens	4:38:20	10/08/2015	JP N64
ClintStevens	4:38:54	09/30/2015	JP N64
ClintStevens	4:42:16	09/21/2015	JP N64
ClintStevens	4:44:18	09/19/2015	JP N64
ClintStevens	4:48:13	09/05/2015	JP N64
ClintStevens	4:50:54	08/08/2015	JP N64
ClintStevens	4:55:15	7/21/2015	JP N64
ClintStevens	4:58:57	7/15/2015	JP N64
ClintStevens	5:05:40	6/21/2015	JP N64
ClintStevens	5:11:44	5/29/2015	JP N64
ClintStevens	5:27:27	5/28/2015	JP N64
sva	4:23:14	12/21/2016	Nintendo 64 (J 1.0)
sva	4:24:19	11/12/2016	Nintendo 64 (J 1.0)
sva	4:32:12	11/03/2016	Nintendo 64 (J 1.0)
sva	4:32:27	10/27/2016	Nintendo 64 (J 1.0)
sva	4:39:16	02/29/2016	JP Wii VC
sva	4:52:03	04/13/2013	Nintendo 64 (J 1.0)
sva	4:57:36	3/14/2013	Nintendo 64 (J 1.0)
sva	5:02:16	3/5/2013	Nintendo 64 (J 1.0)
sva	5:25:29	10/27/2012	Nintendo 64 (J 1.0)
