Date	clean_date	NTSC Time	PAL Time	format_time	player	System	Duration
1997-05-xx	5/1/1997	5'12"57	6'15"83	0:06:15.83	Booth	NTSC	92
1997-08-27	8/27/1997	5'07"44	6'09"67	0:06:09.67	Jonathan	NTSC	140
<1998-01-14	1/14/1998	5'06"63	6'08"69	0:06:08.69	Zwartjes	PAL	58
1998-03-13	3/13/1998	5'03"98	6'05"51	0:06:05.51	Jonathan	NTSC	173
1998-09-02	9/2/1998	5'02"85	6'04"15	0:06:04.15	Penev	PAL	9
1998-09-11	9/11/1998	5'02"61	6'03"86	0:06:03.86	Penev	PAL	12
1998-09-13	9/13/1998	5'01"19	6'02"15	0:06:02.15	Penev	PAL	9
1998-09-22	9/22/1998	5'01"04	6'01"97	0:06:01.97	Penev	PAL	8
1998-09-23	9/23/1998	5'02"43	6'03"64	0:06:03.64	JWhalls	NTSC	-10
1998-09-30	9/30/1998	5'00"89	6'01"79	0:06:01.79	Penev	PAL	9
1998-10-09	10/9/1998	5'00"78	6'01"66	0:06:01.66	Penev	PAL	1
1998-10-10	10/10/1998	5'00"73	6'01"60	0:06:01.60	Penev	PAL	14
1998-10-24	10/24/1998	5'00"46	6'01"27	0:06:01.27	Penev	PAL	113
1999-02-14	2/14/1999	4'59"72	6'00"38	0:06:38.00	Penev	PAL	65
1999-04-20	4/20/1999	4'59"48	6'00"09	0:06:00.09	Penev	PAL	8
<1999-04-28	4/28/1999	4'59"24	5'59"81	0:05:59.81	Sami	PAL	35
1999-06-02	6/2/1999	4'59"09	5'59"63	0:05:59.63	Sami	PAL	164
<1999-11-13	11/13/1999	4'58"11	5'58"45	0:05:58.45	Zwartjes	PAL	370
2000-11-17	11/17/2000	4'56"98	5'57"09	0:05:57.09	Sami	PAL	863
2003-03-30	3/30/2003	4'56"55	5'56"57	0:05:56.57	MJ	PAL	1
2003-03-31	3/31/2003	4'56"27	5'56"24	0:05:56.24	Sami	PAL	682
2005-02-10	2/10/2005	4'55"91	5'55"80	0:05:55.80	MJ	PAL	353
2006-01-29	1/29/2006	4'55"07	5'54"79	0:05:54.79	MJ	PAL	3
2006-02-01	2/1/2006	4'54"69	5'54"33	0:05:54.33	MJ	PAL	2214
2012-02-24	2/24/2012	4'54"68	5'54"32	0:05:54.32	MR	PAL	29
2012-03-24	3/24/2012	4'54"40	5'53"99	0:05:53.99	MJ	PAL	274
2012-12-23	12/23/2012	4'54"27	5'53"83	0:05:53.83	MR	PAL	191
2013-07-02	7/2/2013	4'54"24	5'53"80	0:05:53.80	MR	PAL	406
2014-08-12	8/12/2014	4'54"23	5'53"78	0:05:53.78	Zoran	PAL	3
2014-08-15	8/15/2014	4'54"05	5'53"56	0:05:53.56	MR	PAL	470
2015-11-28	11/28/2015	4'53"90	5'53"39	0:05:53.39	abney317	PAL	2
2015-11-30	11/30/2015	4'53"79	5'53"25	0:05:53.25	MR	PAL	5
2015-12-05	12/5/2015	4'53"75	5'53"20	0:05:53.20	abney317	PAL	9
2015-12-14	12/14/2015	4'53"68	5'53"12	0:05:53.12	MR	PAL	30
2016-01-13	1/13/2016	4'53"58	5'53"00	0:05:53.00	abney317	PAL	<1
2016-01-13	1/13/2016	4'53"48	5'52"88	0:05:52.88	abney317	PAL	27
2016-02-09	2/9/2016	4'53"37	5'52"75	0:05:52.75	MR	PAL	262
