1   | K                    | Gm | 999 | 09:23:43 | video
2   | KevinDDR             | Gm | 999 | 09:26:26 | video
3   | cyberguile           | Gm | 999 | 09:28:11 |
4   | Qlex                 | Gm | 999 | 09:35:30 |
5   | Edo                  | Gm | 999 | 09:43:25 |
6   | Amnesia              | Gm | 999 | 09:44:80 | video
7   | Kitaru               | Gm | 999 | 09:46:81 |
8   | rednefed             | Gm | 999 | 09:47:45 |
9   | DeHackEd             | Gm | 999 | 09:57:15 | video
10  | colour_thief         | Gm | 999 | 09:57:50 |
11  | MaryHadALittle       | Gm | 999 | 09:58:50 |
12  | TWF                  | Gm | 999 | 10:01:63 |
13  | Jil                  | Gm | 999 | 10:10:23 |
14  | EIHoppe              | Gm | 999 | 10:23:03 |
15  | FeV                  | Gm | 999 | 10:24:63 |
16  | mfm005               | Gm | 999 | 10:25:36 |
17  | cleure               | Gm | 999 | 10:25:78 | video
18  | Ai                   | Gm | 999 | 10:34:68 |
19  | kukrapoc_bazza       | Gm | 999 | 10:38:15 |
20  | COL                  | Gm | 999 | 10:42:10 |
21  | zzymyn               | Gm | 999 | 10:46:56 |
22  | EnchantressOfNumbers | Gm | 999 | 10:52:61 | video
23  | Key                  | Gm | 999 | 10:53:63 |
24  | Rosti LFC            | Gm | 999 | 10:54:10 |
25  | sjoecool1991         | Gm | 999 | 10:56:20 |
26  | mat                  | Gm | 999 | 10:58:06 |
27  | DDRKirby(ISQ)        | Gm | 999 | 10:58:15 |
28  | clincher             | Gm | 999 | 10:59:96 |
29  | WakiMiko             | Gm | 999 | 11:05:46 |
30  | JBroms               | Gm | 999 | 11:06:60 | video
31  | Samael               | Gm | 999 | 11:08:50 |
32  | mushroom             | Gm | 999 | 11:10:45 |
33  | Ex_Mosquito          | Gm | 999 | 11:18:36 |
34  | an ass               | Gm | 999 | 11:19:85 |
35  | Jayce                | Gm | 999 | 11:24:48 |
36  | Zircean              | Gm | 999 | 11:28:23 |
37  | LOst                 | Gm | 999 | 11:29:26 |
38  | DIGITAL              | Gm | 999 | 11:30:46 |
39  | Free                 | Gm | 999 | 11:34:45 |
40  | Baxter               | Gm | 999 | 11:35:65 |
41  | Frusxfaranto         | Gm | 999 | 11:36:11 |
42  | BBQTurkeyzZ          | Gm | 999 | 11:37:33 |
43  | Muf                  | Gm | 999 | 11:41:23 |
44  | nicofromtokyo        | Gm | 999 | 11:42:75 |
45  | Supernaze7           | Gm | 999 | 11:46:71 |
46  | CrazedRevenG         | Gm | 999 | 11:46:81 |
47  | goofer               | Gm | 999 | 11:46:81 |
48  | awake                | Gm | 999 | 11:47:33 |
49  | nightmareci          | Gm | 999 | 11:47:35 |
50  | etherstorm           | Gm | 999 | 11:50:16 |
51  | Goplat               | Gm | 999 | 11:50:28 |
52  | girdot               | Gm | 999 | 11:50:51 |
53  | tet2brik             | Gm | 999 | 11:50:76 |
54  | PARTY MAN X          | Gm | 999 | 11:51:73 |
55  | deepdorp             | Gm | 999 | 11:56:10 |
56  | GyRo                 | Gm | 999 | 11:56:95 |
57  | Redlof_b             | Gm | 999 | 11:57:70 |
58  | tada                 | Gm | 999 | 11:58:15 |
59  | Vesly                | Gm | 999 | 11:59:91 |
60  | Taratang             | Gm | 999 | 12:00:95 |
61  | Deeem2031            | Gm | 999 | 12:01:48 |
