player	format_time	date
oatsngoats	00:41:56.00	10/18/2016
zoast	00:41:58.00	9/2/2016
zoast	00:42:05.00	8/9/2016
zoast	00:42:10.00	5/10/2016
oatsngoats	00:42:10.00	3/18/2016
zoast	00:42:12.00	10/26/2015
zoast	00:42:28.00	10/19/2015
zoast	00:42:32.00	10/10/2015
zoast	00:42:41.00	9/5/2015
zoast	00:42:52.00	8/7/2015
zoast	00:42:56.00	7/12/2015
Behemoth	00:42:57.00	5/21/2015
zoast	00:43:04.00	2/21/2015
Behemoth	00:43:12.00	2/6/2015
zoast	00:43:31.00	2/1/2015
zoast	00:43:34.00	1/30/2015
Behemoth	00:43:46.00	10/19/2014
Behemoth	00:43:48.00	8/28/2014
zoast	00:44:08.00	8/23/2014
zoast	00:44:11.00	7/25/2014
zoast	00:44:16.00	6/2/2014
zoast	00:44:27.00	5/23/2014
zoast	00:44:28.00	5/6/2014
zoast	00:44:29.00	2/13/2014
zoast	00:44:46.00	10/17/2013
zoast	00:44:54.00	10/8/2013
Kottpower	00:44:54.00	9/28/2013
zoast	00:44:55.00	9/7/2013
zoast	00:45:03.00	8/28/2013
zoast	00:45:22.00	8/11/2013
Behemoth	00:45:22.00	7/26/2013
Kottpower	00:45:36.00	7/9/2013
zoast	00:45:46.00	6/5/2013
zoast	00:46:05.00	4/20/2013
Kottpower	00:46:10.00	4/9/2013
Garrison	00:46:11.00	3/10/2013
Garrison	00:46:42.00	2/8/2013
Kottpower	00:46:50.00	2/6/2013
Garrison	00:46:58.00	1/29/2013
Kottpower	00:47:16.00	1/28/2013
Garrison	00:47:17.00	1/24/2013
Garrison	00:47:26.00	12/14/2012
Kottpower	00:47:37.00	11/3/2012
Garrison	00:47:50.00	10/26/2012
Garrison	00:47:58.00	9/28/2012
Garrison	00:48:25.00	9/4/2012
Garrison	00:48:30.00	7/23/2012
Garrison	00:48:45.00	7/9/2012
Garrison	00:49:00.00	6/29/2012
Garrison	00:49:22.00	6/13/2012
Garrison	00:49:25.00	6/6/2012
Hotarubi	00:49:25.00	7/3/2008
Hotarubi	00:52:44.00	8/9/2006
Smokey	00:56:22.00	4/23/2004
